venda_id,data,cliente_id,produto_id,quantidade,valor_total,custo_total,lucro,forma_pagamento,canal_venda
1,2026-04-26,289,13,1,14.9,10.43,4.47,Crédito,Marketplace
2,2025-10-10,237,28,2,27.8,21.12,6.68,Crédito,App
3,2025-12-12,109,11,5,22.5,15.3,7.2,Pix,App
4,2026-03-19,195,29,3,20.7,13.47,7.23,Dinheiro,App
5,2026-04-07,241,3,1,5.2,4.26,0.94,Crédito,App
6,2025-11-02,36,21,1,16.9,13.18,3.72,Crédito,Delivery
7,2025-10-27,11,27,5,62.5,42.5,20.0,Débito,Delivery
8,2025-10-08,59,16,5,94.5,69.0,25.5,Débito,Marketplace
9,2026-03-04,189,9,2,25.8,16.76,9.04,Crédito,Delivery
10,2025-11-24,297,4,1,18.9,13.23,5.67,Pix,Marketplace
11,2025-12-16,102,23,1,24.9,17.93,6.97,Débito,Loja Física
12,2026-03-03,155,25,5,94.5,68.05,26.45,Crédito,Loja Física
13,2025-12-03,220,18,4,71.6,44.4,27.2,Crédito,App
14,2025-09-09,216,28,4,55.6,42.24,13.36,Crédito,Marketplace
15,2025-12-07,236,21,2,33.8,26.36,7.44,Dinheiro,Delivery
16,2026-03-12,139,17,5,84.5,50.7,33.8,Dinheiro,Marketplace
17,2025-12-26,138,27,4,50.0,34.0,16.0,Débito,Loja Física
18,2025-11-16,231,29,2,13.8,8.98,4.82,Dinheiro,Marketplace
19,2025-12-01,254,1,4,115.6,90.16,25.44,Débito,Marketplace
20,2025-10-30,133,12,3,8.4,5.46,2.94,Pix,App
21,2026-01-26,265,1,1,28.9,22.54,6.36,Crédito,Delivery
22,2026-03-09,251,14,5,42.5,28.45,14.05,Débito,Marketplace
23,2026-02-18,252,23,3,74.7,53.79,20.91,Crédito,Loja Física
24,2025-11-20,208,8,2,19.0,13.68,5.32,Pix,App
25,2026-01-05,272,18,2,35.8,22.2,13.6,Dinheiro,App
26,2025-12-05,233,23,4,99.6,71.72,27.88,Pix,App
27,2025-11-04,99,4,4,75.6,52.92,22.68,Crédito,Delivery
28,2025-10-25,248,7,3,16.8,13.44,3.36,Pix,Loja Física
29,2026-04-07,152,7,1,5.6,4.48,1.12,Pix,Delivery
30,2025-11-22,274,1,2,57.8,45.08,12.72,Pix,Loja Física
31,2025-09-19,150,18,2,35.8,22.2,13.6,Dinheiro,Loja Física
32,2026-04-17,294,1,2,57.8,45.08,12.72,Dinheiro,Marketplace
33,2025-12-27,95,11,1,4.5,3.06,1.44,Pix,Marketplace
34,2025-10-05,34,27,4,50.0,34.0,16.0,Dinheiro,Loja Física
35,2026-01-31,28,21,1,16.9,13.18,3.72,Débito,App
36,2025-09-27,61,8,5,47.5,34.2,13.3,Dinheiro,Delivery
37,2026-03-23,195,17,4,67.6,40.56,27.04,Dinheiro,App
38,2026-04-14,220,19,2,13.0,8.46,4.54,Crédito,Loja Física
39,2026-03-20,109,7,3,16.8,13.44,3.36,Crédito,Delivery
40,2025-11-06,283,6,1,7.8,6.4,1.4,Débito,Loja Física
41,2025-12-19,241,15,4,16.8,12.08,4.72,Crédito,Delivery
42,2025-11-18,145,23,5,124.5,89.65,34.85,Crédito,Delivery
43,2026-04-30,102,9,3,38.7,25.14,13.56,Crédito,Delivery
44,2026-02-18,137,5,1,4.9,3.82,1.08,Crédito,Loja Física
45,2025-10-18,158,26,5,49.5,34.65,14.85,Pix,Marketplace
46,2025-10-07,156,15,4,16.8,12.08,4.72,Pix,Marketplace
47,2025-12-27,21,3,5,26.0,21.3,4.7,Pix,App
48,2025-09-12,118,3,5,26.0,21.3,4.7,Crédito,App
49,2026-01-31,90,2,3,26.7,20.04,6.66,Dinheiro,App
50,2025-10-22,224,19,4,26.0,16.92,9.08,Crédito,Marketplace
51,2025-12-04,171,14,4,34.0,22.76,11.24,Crédito,Delivery
52,2025-11-29,254,14,4,34.0,22.76,11.24,Dinheiro,Loja Física
53,2025-12-31,162,3,4,20.8,17.04,3.76,Pix,Loja Física
54,2026-03-22,264,13,1,14.9,10.43,4.47,Dinheiro,Marketplace
55,2025-09-19,266,7,3,16.8,13.44,3.36,Dinheiro,Marketplace
